[INFO] [launch]: All log files can be found below /home/gsing/2026Gsing/2026_Gsing-second_ROS/logs/ros/2026-07-14-19-16-08-903185-gsing-4609
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [fastlio_mapping-1]: process started with pid [4760]
[INFO] [env-2]: process started with pid [4765]
[INFO] [env-3]: process started with pid [4768]
[INFO] [pcd_to_pointcloud-4]: process started with pid [4769]
[pcd_to_pointcloud-4] [INFO] [1784027770.928193142] [map_publisher]: Publishing data with 368664 points (x y z normal_x normal_y normal_z intensity curvature) on topic /cloud_pcd in frame map.
[fastlio_mapping-1] [INFO] [1784027771.647401845] [fastlio_mapping]: p_pre->lidar_type 5
[fastlio_mapping-1] Multi thread started 
[fastlio_mapping-1] ~~~~/home/gsing/2026Gsing/2026_Gsing-second_ROS/fastlio2_v2/src/unilidar_fastlio_ros2-ros2/ file opened
[fastlio_mapping-1] [INFO] [1784027771.761818135] [fastlio_mapping]: Node init finished.
[env-2] [INFO] [1784027776.467083608] [global_localization]: Waiting for global map...
[env-2] [INFO] [1784027776.472805260] [global_localization]: Loading map: /home/gsing/2026Gsing/2026_Gsing-second_ROS/map/PCD20.pcd, voxel_size=0.01
[env-2] [INFO] [1784027777.107214043] [global_localization]: Map loaded: raw=368664 pts
[env-2] [INFO] [1784027778.504866494] [global_localization]: Map downsampled: 103490 pts
[env-2] [INFO] [1784027778.513341461] [global_localization]: Global map received.
[env-2] [INFO] [1784027779.126059105] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027779.597482012] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027780.088363588] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027780.602150182] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027781.088184992] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027781.588521925] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027782.085636318] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027782.608883244] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027783.086216814] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027783.592326682] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027784.097259751] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027784.632520298] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027785.085910341] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027785.598913222] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027786.088288008] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027786.586395626] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027787.090821472] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027787.589251750] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027788.086089958] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027788.587720819] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027789.090880854] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027789.587565454] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027790.088130217] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027790.587125543] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027791.087529255] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027791.588974161] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027792.085992646] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027792.588090285] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027793.090353317] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027793.585627140] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027794.102336234] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027794.586223718] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784027795.086614722] [global_localization]: Waiting for initial pose...
