[INFO] [launch]: All log files can be found below /home/gsing/2026Gsing/2026_Gsing-second_ROS/logs/ros/2026-07-15-11-02-18-081390-gsing-8673
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [fastlio_mapping-1]: process started with pid [8777]
[INFO] [env-2]: process started with pid [8778]
[INFO] [env-3]: process started with pid [8779]
[INFO] [pcd_to_pointcloud-4]: process started with pid [8780]
[pcd_to_pointcloud-4] [INFO] [1784084539.390720447] [map_publisher]: Publishing data with 532258 points (x y z normal_x normal_y normal_z intensity curvature) on topic /cloud_pcd in frame map.
[fastlio_mapping-1] [INFO] [1784084539.651839579] [fastlio_mapping]: p_pre->lidar_type 5
[fastlio_mapping-1] Multi thread started 
[fastlio_mapping-1] ~~~~/home/gsing/2026Gsing/2026_Gsing-second_ROS/fastlio2_v2/src/unilidar_fastlio_ros2-ros2/ file opened
[fastlio_mapping-1] [INFO] [1784084539.710612272] [fastlio_mapping]: Node init finished.
[env-2] [INFO] [1784084542.465054678] [global_localization]: Waiting for global map...
[env-2] [INFO] [1784084542.469321426] [global_localization]: Loading map: /home/gsing/2026Gsing/2026_Gsing-second_ROS/map/PCD33.pcd, voxel_size=0.08
[env-2] [INFO] [1784084542.561850297] [global_localization]: Map loaded: raw=532258 pts
[env-2] [INFO] [1784084542.947010032] [global_localization]: Map downsampled: 1434 pts
[env-2] [INFO] [1784084542.950247568] [global_localization]: Global map received.
[env-2] [INFO] [1784084543.464864437] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084543.980907543] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084544.472757036] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084544.970479980] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084545.470752094] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084545.973286636] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084546.502900083] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084546.971772029] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084547.477858818] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084547.976023023] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084547.981848972] [global_localization]: _auto_init_if_needed: initialized=False cur_scan=✗
[env-2] [INFO] [1784084548.481374186] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084548.965827146] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084549.464680711] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084549.966046012] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084550.464598439] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084550.964949797] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084551.465562705] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084551.964877401] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084552.464730077] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084552.964384779] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084552.968100444] [global_localization]: _auto_init_if_needed: initialized=False cur_scan=✗
[env-2] [INFO] [1784084553.464398422] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084553.964374935] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084554.465362515] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084554.968911723] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084555.464506634] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084555.965502824] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084556.467487076] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084556.964477514] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084557.467219302] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084557.964742129] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084557.969730267] [global_localization]: _auto_init_if_needed: initialized=False cur_scan=✗
[env-2] [INFO] [1784084558.464991506] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784084558.965507571] [global_localization]: Waiting for initial pose...
