[INFO] [launch]: All log files can be found below /home/gsing/2026Gsing/2026_Gsing-second_ROS/logs/ros/2026-07-14-19-47-05-418050-gsing-4694
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [fastlio_mapping-1]: process started with pid [4847]
[INFO] [env-2]: process started with pid [4848]
[INFO] [env-3]: process started with pid [4849]
[INFO] [pcd_to_pointcloud-4]: process started with pid [4850]
[pcd_to_pointcloud-4] [INFO] [1784029627.685734171] [map_publisher]: Publishing data with 368664 points (x y z normal_x normal_y normal_z intensity curvature) on topic /cloud_pcd in frame map.
[fastlio_mapping-1] [INFO] [1784029628.455322752] [fastlio_mapping]: p_pre->lidar_type 5
[fastlio_mapping-1] Multi thread started 
[fastlio_mapping-1] ~~~~/home/gsing/2026Gsing/2026_Gsing-second_ROS/fastlio2_v2/src/unilidar_fastlio_ros2-ros2/ file opened
[fastlio_mapping-1] [INFO] [1784029628.597195692] [fastlio_mapping]: Node init finished.
[env-2] [INFO] [1784029636.790839534] [global_localization]: Waiting for global map...
[env-2] [INFO] [1784029636.798950924] [global_localization]: Loading map: /home/gsing/2026Gsing/2026_Gsing-second_ROS/map/PCD20.pcd, voxel_size=0.01
[env-2] [INFO] [1784029636.936062824] [global_localization]: Map loaded: raw=368664 pts
[env-2] [INFO] [1784029637.758178237] [global_localization]: Map downsampled: 103490 pts
[env-2] [INFO] [1784029637.762639437] [global_localization]: Global map received.
[env-2] [INFO] [1784029638.290963620] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029638.791432528] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029639.338104123] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029639.786378880] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029640.285200828] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029640.787515024] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029641.289181627] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029641.815607448] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029642.283356350] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029642.800847336] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029643.300149478] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029643.788931794] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029644.295696121] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029644.790058482] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029645.291338950] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029645.788148033] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029646.288439674] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029646.784406939] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029647.282904723] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029647.784068263] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029648.284254451] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029648.785912040] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029649.285951061] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029649.785135404] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029650.287431545] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029650.783913845] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029651.283730823] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029651.783964763] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029652.286262794] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029652.786747181] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029653.282918121] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029653.784181864] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029654.284366088] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029654.784931388] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029655.283141044] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029655.791730671] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029656.282999812] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029656.784162077] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029657.282998015] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029657.784335921] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029658.283238533] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029658.784210857] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029659.288264665] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029659.787453726] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029660.289577244] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029660.798432897] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029661.287842899] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029661.787810065] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029662.304453989] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029662.802468237] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029663.292323468] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029663.786749284] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029664.288890680] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029664.788990015] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029665.301937801] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029665.786874937] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029666.294030821] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029666.819201634] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029667.332647737] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029667.837876314] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029668.303797958] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029668.807893321] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029669.283295192] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029669.783808160] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029670.308352003] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029670.826398037] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029671.314858046] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029671.857440047] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029672.349686779] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029672.814804010] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029673.295404731] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029673.800157012] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029674.291632877] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029674.794993788] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029675.299664980] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029675.789261643] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029676.299220262] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029676.827478003] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029677.295399071] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029677.789185980] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029678.286063392] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029678.795708389] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029679.307403592] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029679.786149600] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029680.294206642] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029680.783608552] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029681.310640852] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029681.807350974] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029682.292268651] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029682.783293592] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029683.289706285] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029683.800707146] [global_localization]: Waiting for initial pose...
[env-2] [INFO] [1784029684.284881862] [global_localization]: Waiting for initial pose...
